distance_from_surface_A,C_pH6_110mM_8pct,F_pH7.3_170mM_5pct,D_pH6_30mM_12pct,E_pH7.3_30mM_12pct
0.25,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0
2.25,11.79,64.33,3.44,29.64
2.75,-0.54,74.9,-9.29,34.4
3.25,-223.42,21.11,-170.29,26.16
3.75,-259.37,40.67,-196.49,39.25
4.25,-289.91,101.6,-225.57,69.2
4.75,-312.89,141.09,-247.45,88.67
5.25,-335.18,151.12,-264.73,96.09
5.75,-353.44,157.35,-278.65,102.34
6.25,-369.23,165.96,-291.4,109.5
6.75,-384.15,174.64,-304.03,117.11
7.25,-395.59,183.35,-314.63,123.99
7.75,-404.34,192.17,-323.45,130.02
8.25,-412.4,200.21,-331.62,136.13
8.75,-420.32,206.37,-339.76,141.62
9.25,-428.12,211.11,-347.49,146.34
9.75,-434.99,215.92,-354.47,151.28
10.25,-441.23,221.01,-361.24,155.71
10.75,-447.08,225.69,-367.51,159.63
11.25,-452.6,228.75,-373.72,164.1
11.75,-457.99,231.66,-379.92,167.87
12.25,-462.91,234.29,-385.53,171.5
12.75,-467.4,237.63,-390.93,174.95
13.25,-471.76,239.68,-396.21,178.37
13.75,-475.0,241.43,-401.2,181.52
14.25,-478.52,243.39,-405.93,184.93
14.75,-481.94,245.15,-410.34,188.3
15.25,-484.38,246.98,-414.55,191.52
15.75,-487.59,249.08,-418.41,194.19
16.25,-489.97,251.62,-422.46,196.74
16.75,-493.06,253.17,-426.27,199.68
17.25,-495.72,254.46,-429.83,202.45
17.75,-497.55,255.83,-433.11,205.09
18.25,-499.28,256.54,-436.52,207.59
18.75,-501.33,257.87,-439.86,209.85
19.25,-502.84,258.94,-442.77,211.76
19.75,-504.7,259.11,-446.19,213.53
