distance_from_surface_A,pH6_30mM_1pct,pH6_30mM_10pct,pH6_200mM_1pct,pH6_200mM_10pct,pH8_30mM_1pct,pH8_30mM_10pct,pH8_200mM_1pct,pH8_200mM_10pct
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,2.71,3.11,23.77,25.97,79.26,86.13,157.42,131.02
2.75,-12.39,-9.53,10.82,13.46,91.56,98.97,179.87,152.51
3.25,-180.26,-171.76,-264.74,-258.59,90.86,97.52,119.1,98.22
3.75,-205.87,-198.94,-303.84,-295.74,121.69,126.85,160.97,141.71
4.25,-232.96,-228.14,-330.52,-319.65,188.88,189.5,268.82,250.19
4.75,-254.62,-250.77,-351.16,-339.72,231.69,230.36,337.72,320.87
5.25,-271.73,-268.0,-378.04,-366.46,250.34,247.73,358.15,343.63
5.75,-285.76,-282.03,-400.23,-387.93,264.69,261.4,372.74,360.74
6.25,-298.66,-294.67,-418.97,-405.59,280.21,276.09,389.32,379.29
6.75,-310.99,-307.1,-435.46,-422.58,294.9,290.34,404.08,396.35
7.25,-321.69,-317.63,-447.27,-433.81,307.85,302.78,418.66,411.79
7.75,-330.18,-326.63,-455.62,-442.13,319.26,313.45,432.71,427.2
8.25,-338.09,-334.58,-462.69,-449.5,329.7,323.43,444.83,439.7
8.75,-345.63,-342.34,-470.03,-457.03,338.57,332.43,454.42,449.76
9.25,-353.15,-350.04,-477.54,-464.37,347.29,340.7,462.82,457.65
9.75,-359.67,-357.35,-483.74,-471.41,355.31,348.54,469.33,465.28
10.25,-366.13,-364.1,-489.01,-476.25,362.65,355.98,476.04,472.42
10.75,-372.37,-370.33,-492.5,-480.9,369.83,363.05,482.85,479.07
11.25,-377.98,-376.47,-496.55,-486.02,376.5,369.75,489.0,485.06
11.75,-383.94,-382.01,-499.98,-490.47,382.93,375.99,493.79,490.56
12.25,-389.21,-387.58,-503.0,-494.5,389.01,382.14,497.87,493.5
12.75,-394.23,-393.08,-506.07,-498.58,395.02,387.75,501.54,497.43
13.25,-399.08,-398.31,-508.62,-501.68,400.83,393.18,504.92,501.2
13.75,-403.8,-403.33,-511.44,-504.56,406.34,398.27,508.38,504.49
14.25,-408.29,-407.99,-514.27,-507.31,411.28,403.56,510.97,507.79
14.75,-412.52,-412.5,-515.99,-509.41,415.83,408.51,513.63,509.93
15.25,-416.86,-416.95,-517.84,-512.34,420.57,413.11,516.05,512.06
15.75,-421.08,-421.02,-520.29,-514.56,424.89,417.34,518.58,514.09
16.25,-424.75,-425.06,-521.9,-516.26,429.24,421.61,521.1,516.61
16.75,-428.3,-428.87,-523.61,-518.17,433.4,425.91,522.94,519.17
17.25,-432.0,-432.04,-524.94,-519.43,437.19,429.64,524.21,521.29
17.75,-435.54,-435.54,-525.49,-520.72,440.72,433.31,525.52,522.21
18.25,-438.66,-438.81,-526.48,-521.63,444.34,436.86,527.0,523.8
18.75,-441.76,-441.77,-526.87,-522.59,447.45,440.0,528.39,525.49
19.25,-444.6,-444.9,-527.05,-523.37,450.41,443.61,529.46,525.97
19.75,-447.58,-447.64,-527.34,-524.87,453.27,446.95,530.02,526.93
