group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:GLU,14,20,1126,31120,0.7,0.036182519280205654,19.346358792184724,62.15452930728242,2.267691830161237e-16,True
class:Acidic,14,20,2386,31120,0.7,0.07667095115681234,9.129924559932942,28.099748533109807,6.257122315922601e-12,True
flag:is_polar,17,20,15643,31120,0.85,0.5026670951156812,1.69097999105031,5.606533273668734,0.001395233120064035,True
type:GLY,3,20,2457,31120,0.15,0.07895244215938303,1.8998778998778998,2.0586798822092938,0.20671496380427323,False
type:ASN,2,20,2818,31120,0.1,0.09055269922879178,1.1043293115684882,1.1159214572983203,0.5519612308828492,False
class:Special,3,20,4497,31120,0.15,0.1445051413881748,1.038025350233489,1.044735706157046,0.5680164089270626,False
type:THR,1,20,2999,31120,0.05,0.09636889460154241,0.5188396132044015,0.4935153823204226,0.8682268055207066,False
class:Polar_uncharged,3,20,10257,31120,0.15,0.32959511568123395,0.455103831529687,0.358945684152573,0.9808924874388412,False
type:SER,0,20,2400,31120,0.0,0.07712082262210797,0.0,0.0,1.0,False
type:VAL,0,20,1320,31120,0.0,0.042416452442159386,0.0,0.0,1.0,False
type:ALA,0,20,1500,31120,0.0,0.04820051413881748,0.0,0.0,1.0,False
type:PRO,0,20,2040,31120,0.0,0.06555269922879177,0.0,0.0,1.0,False
type:GLN,0,20,2040,31120,0.0,0.06555269922879177,0.0,0.0,1.0,False
type:ILE,0,20,1320,31120,0.0,0.042416452442159386,0.0,0.0,1.0,False
type:ASP,0,20,1260,31120,0.0,0.04048843187660668,0.0,0.0,1.0,False
type:LYS,0,20,1020,31120,0.0,0.032776349614395885,0.0,0.0,1.0,False
type:PHE,0,20,1620,31120,0.0,0.05205655526992288,0.0,0.0,1.0,False
type:ARG,0,20,1260,31120,0.0,0.04048843187660668,0.0,0.0,1.0,False
type:TYR,0,20,1620,31120,0.0,0.05205655526992288,0.0,0.0,1.0,False
type:TRP,0,20,720,31120,0.0,0.02313624678663239,0.0,0.0,1.0,False
type:MET,0,20,480,31120,0.0,0.015424164524421594,0.0,0.0,1.0,False
type:CYS,0,20,300,31120,0.0,0.009640102827763496,0.0,0.0,1.0,False
type:HIS,0,20,720,31120,0.0,0.02313624678663239,0.0,0.0,1.0,False
type:LEU,0,20,2100,31120,0.0,0.06748071979434447,0.0,0.0,1.0,False
class:Aliphatic,0,20,6240,31120,0.0,0.20051413881748073,0.0,0.0,1.0,False
class:Basic,0,20,3000,31120,0.0,0.09640102827763496,0.0,0.0,1.0,False
class:Sulfur,0,20,780,31120,0.0,0.02506426735218509,0.0,0.0,1.0,False
class:Aromatic,0,20,3960,31120,0.0,0.12724935732647816,0.0,0.0,1.0,False
flag:is_charged,20,20,31120,31120,1.0,1.0,1.0,,1.0,False
flag:is_aromatic,0,20,4680,31120,0.0,0.15038560411311053,0.0,0.0,1.0,False
