r_A,water_M,sucrose_M,water_per_A3,sucrose_per_A3,n_water,n_sucrose
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.4451,0.0,0.0002680470199070385,0.0,295.7450980392157,0.0
2.75,98.2825,0.0,0.05918713297767944,0.0,36619.1568627451,0.0
3.25,61.9191,0.00185,0.037288544912600224,1.1144021172952323e-06,15746.156862745098,0.47058823529411764
3.75,64.8553,0.00983,0.03905679220821603,5.918126888110245e-06,13457.843137254902,2.0392156862745097
4.25,54.9097,0.02954,0.03306737965541441,1.7790047473854428e-05,10059.156862745098,5.411764705882353
4.75,50.9603,0.04701,0.030689024099364432,2.831258046151355e-05,8628.980392156862,7.96078431372549
5.25,50.6767,0.05463,0.03051822568889322,3.2898360033775866e-05,8203.35294117647,8.843137254901961
5.75,53.2576,0.06054,0.03207249870280643,3.645590137100078e-05,8245.607843137255,9.372549019607844
6.25,57.5458,0.04935,0.03465491480066435,2.972005292557388e-05,8665.313725490196,7.431372549019608
6.75,57.8892,0.04155,0.034861673765285574,2.5019468345445392e-05,8442.254901960785,6.0588235294117645
7.25,55.5488,0.02698,0.03345227506929353,1.625058118672065e-05,7951.568627450981,3.8627450980392157
7.75,53.7901,0.01703,0.03239318518731232,1.0252775326711705e-05,7619.862745098039,2.411764705882353
8.25,54.3762,0.01834,0.03274611529009516,1.104637038653875e-05,7556.3725490196075,2.549019607843137
8.75,55.4848,0.02204,0.033413739101910644,1.3274470698829426e-05,7600.78431372549,3.019607843137255
9.25,55.654,0.02078,0.03351563868624275,1.251384455437367e-05,7562.21568627451,2.823529411764706
9.75,55.1945,0.02204,0.033238887940108396,1.327034152714179e-05,7465.137254901961,2.980392156862745
10.25,55.2354,0.02009,0.033263505492802575,1.2097489905743998e-05,7386.235294117647,2.6862745098039214
10.75,55.1192,0.01674,0.03319353566919883,1.007930411952371e-05,7361.35294117647,2.235294117647059
11.25,55.2376,0.02269,0.03326485634892126,1.3663755481822357e-05,7351.333333333333,3.019607843137255
11.75,55.5216,0.02051,0.0334358997743303,1.2353958727423004e-05,7323.450980392156,2.7058823529411766
12.25,55.3482,0.02034,0.03333149484310385,1.224784969585721e-05,7310.470588235294,2.6862745098039214
12.75,55.5044,0.02069,0.03342552607974406,1.246174057844779e-05,7310.450980392156,2.7254901960784315
13.25,55.3173,0.02317,0.033312854300465655,1.3953739809179799e-05,7302.568627450981,3.0588235294117645
13.75,55.0285,0.01926,0.033138944206652504,1.1595776127435468e-05,7284.705882352941,2.549019607843137
14.25,55.5913,0.0198,0.03347785934288124,1.1923183111036441e-05,7267.235294117647,2.588235294117647
14.75,55.7572,0.02031,0.033577774166632435,1.2228809363539041e-05,7268.274509803921,2.6470588235294117
